name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Siacoin,$0.4465,0.38,6.59,4.65,"$176,586,482","$16,386,888","1,843,669,839",https://coinmarketcap.com/currencies/siacoin/?period=7d,183903.06
aelf,$2.19,0.68,-2.47,-5.71,"$175,281,038","$73,813,298","368,593,750",https://coinmarketcap.com/currencies/aelf/?period=7d,-4570112.91
SafePal,$0.4704,-0.08,0.0,2.39,"$173,974,918","$13,571,125","369,666,436",https://coinmarketcap.com/currencies/safepal/?period=7d,88392.87
Harmony,$0.7578,0.39,2.52,4.03,"$171,290,755","$15,681,541","1,040,385,513",https://coinmarketcap.com/currencies/harmony/?period=7d,91092.87
Hive,$0.7376,5.69,5.99,36.12,"$167,313,075","$359,944,430","1,036,200,000",https://coinmarketcap.com/currencies/hive-blockchain/?period=7d,819325.96
Cannation,$0.4062,0.15,-0.78,5.54,"$165,834,007","$57,748,133","1,893,095,371",https://coinmarketcap.com/currencies/cannation/?period=7d,226174.4
WAX,$0.7692,0.21,1.19,2.63,"$164,009,085","$14,152,950","1,000,000,000",https://coinmarketcap.com/currencies/wax/?period=7d,56076.95
Band Protocol,$2.03,0.26,-1.06,-0.02,"$162,990,490","$37,692,567","368,852,897",https://coinmarketcap.com/currencies/band-protocol/?period=7d,-16058.18
IOST,$6.23,0.1,-1.38,9.05,"$162,080,196","$52,107,679","119,173,159",https://coinmarketcap.com/currencies/iostoken/?period=7d,2354455.5
SushiSwap,$38.48,1.59,3.1,0.81,"$160,614,535","$7,677,400","19,474,470",https://coinmarketcap.com/currencies/sushiswap/?period=7d,33809.19
Aragon,$0.9993,0.08,0.0,0.1,"$159,054,079","$18,072,711","738,574,277",https://coinmarketcap.com/currencies/aragon/?period=7d,1591.65
ARAW,$8.77,0.82,0.24,26.7,"$155,386,594","$56,233,850","80,005,555",https://coinmarketcap.com/currencies/araw/?period=7d,4730697.9
Illuvium,$0.0...03601,-0.94,-3.27,52.64,"$152,931,649","$154,361,074","19,432,423,423,293",https://coinmarketcap.com/currencies/illuvium/?period=7d,2235579.56
Escroco Emerald,$9.55,-0.38,-2.51,7.76,"$147,434,772","$54,193,916","70,538,831",https://coinmarketcap.com/currencies/escroco-emerald/?period=7d,1198004.01
Biconomy,$0.7726,0.64,-0.17,11.77,"$143,481,688","$27,613,086","866,996,559",https://coinmarketcap.com/currencies/biconomy/?period=7d,218583.93
Flux,$6.74,0.36,1.41,1.35,"$143,604,521","$1,626,659","96,794,195",https://coinmarketcap.com/currencies/zel/?period=7d,287635.17
Kadena,$2.34,-0.02,2.86,8.54,"$143,533,537","$46,111,948","264,400,311",https://coinmarketcap.com/currencies/kadena/?period=7d,5238360.71
Storj,$0.0...00157,-0.77,1.39,1.78,"$141,170,986","$105,428,163","391,790,000,000,000",https://coinmarketcap.com/currencies/storj/?period=7d,1600537.29
BORA,$0.2037,-0.19,-1.49,-10.01,"$137,793,964","$60,621,292","2,979,621,110",https://coinmarketcap.com/currencies/bora/?period=7d,-677131.85
JOE,$0.9537,0.16,0.9,-8.75,"$137,116,623","$16,881,162","605,374,838",https://coinmarketcap.com/currencies/joe/?period=7d,-125801.66
